song_title,chapter,lyrics
Pray You Catch Me,Intuition,"You can taste the dishonesty
It's all over your breath as you pass it off so cavalier
But even that's a test
Constantly aware of it all
My lonely ear pressed against the walls of your world
Pray to catch you whispering
I pray you catch me listening
I'm prayin' to catch you whispering
I pray you catch me
I'm prayin' to catch you whispering
I pray you catch me listening
I pray you catch me
Nothing else ever seems to hurt like the smile on your face
When it's only in my memory, it don't hit me quite the same
Maybe it's a cause for concern, but I'm not at ease
Keeping my head to the curb
Pray to catch you whispering
I pray you catch me listening
I pray to catch you whispering
I pray you catch me (whisper, whisper)
I pray you catch me
I pray you catch me (pray you)
I'm praying you catch me"
Hold Up,Denial,"Hold up, they don't love you like I love you
Slow down, they don't love you like I love you
Back up, they don't love you like I love you
Step down, they don't love you like I love you
Can't you see there's no other man above you?
What a wicked way to treat the girl that loves you
Hold up, they don't love you like I love you
Oh, down, they don't love you like I love you
Something don't feel right because it ain't right
Especially comin' up after midnight
I smell your secrets, and I'm not too perfect
To ever feel this worthless
How did it come down to this? Scrolling through your call list
I don't wanna lose my pride, but I'mma fuck me up a bitch
Know that I kept it sexy, you know I kept it fun
There's something that I'm missing, maybe my head for one
What's worse, lookin' jealous or crazy? Jealous or crazy?
Or like being walked all over lately, walked all over lately
I'd rather be crazy
Hold up, they don't love you like I love you
Slow down, they don't love you like I love you
Back up, they don't love you like I love you
Step down, they don't love you like I love you
Can't you see there's no other man above you?
What a wicked way to treat the girl that loves you
Hold up, they don't love you like I love you
Slow down they don't love you like I love you
Let's imagine for a moment that you never made a name for yourself
Or mastered wealth, they had you labeled as a king
Never made it out the cage, still out there movin' in them streets
Never had the baddest woman in the game up in your sheets
Would they be down to ride?
No, they used to hide from you, lie to you
But y'all know we were made for each other
So I find you and hold you down
Me sing se
Hold up, they don't love you like I love you
Slow down, they don't love you like I love you
Back up, they don't love you like I love you
Step down, they don't love you like I love you
Can't you see there's no other man above you?
What a wicked way to treat the girl that loves you
Hold up, they don't love you like I love you
Slow down they don't love you like I love you
Hey, this such a shame
You let this good love go to waste
I always keep the top tier, 5 star
Backseat lovin' in the car
Like make that wood, like make that wood
Holly like a boulevard
What's worse, lookin' jealous or crazy? Jealous and crazy?
Or like being walked all over lately, walked all over lately
I'd rather be crazy
Hold up, they don't love you like I love you
Slow down, they don't love you like I love you
Back up, they don't love you like I love you
Step down, they don't love you like I love you
Can't you see there's no other man above you?
What a wicked way to treat the girl that loves you
Hold up, they don't love you like I love you
Oh, down, they don't love you like I love you
I hop up out my bed and get my swag on
I look in the mirror, say, ""What's up?""
What's up, what's up, what's up
I hop up out my bed and get my swag on
I look in the mirror, say, ""What's up?""
What's up, what's up, what's up"
Don’t Hurt Yourself,Anger,"Oh na na na
Oh na na na
Oh na na na
Don't hurt yourself
Don't hurt yourself
Who the fuck do you think I is?
You ain't married to no average bitch, boy
You can watch my fat ass twist, boy
As I bounce to the next dick, boy
And keep your money, I got my own
Keep a bigger smile on my face being alone
Bad motherfucker, God complex
Motivate your ass, call me Malcolm X
Yo operator, or innovator
Fuck you hater, you can't recreate her, no
You'll never recreate her no, hell no
We just got to let it be
Let it be, let it be, let it be, baby
You just got to let it be
Let it be, let it be, let it be, babe
When you hurt me, you hurt yourself
Don't hurt yourself
When you diss me, you diss yourself
Don't hurt yourself
When you hurt me, you hurt yourself
Don't hurt yourself, don't hurt yourself
When you love me, you love yourself
Love God herself
I am the dragon breathing fire
Beautiful mane, I'm the lion
Beautiful man, I know you're lying
I am not broken, I'm not crying, I'm not crying
You ain't trying hard enough
You ain't loving hard enough
You don't love me deep enough
We not reaching peaks enough
Blindly in love, I fucks with you
'Til I realize I'm just too much for you
I'm just too much for you
You just got to let it be
Let it be, let it be, let it be, baby
Hey baby, who the fuck do you think I is?
I smell that fragrance on your Louis knit, boy
Just give my fat ass a big kiss, boy
Tonight I'm fucking up all your shit, boy
When you hurt me, you hurt yourself
Try not to hurt yourself
When you play me, you play yourself
Don't play yourself
When you lie to me, you lie to yourself
You only lying to yourself (Don't hurt yourself)
When you love me, you love yourself
Love God herself
We just got to let it be
Let it be, let it be, let it be, let it be, babe
Uh, this is your final warning
You know I give you life
If you try this shit again
You gon' lose your wife"
Sorry,Apathy,"Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry, nigga, nah
Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry
He trying to roll me up, I ain't picking up
Headed to the club, I ain't thinking 'bout you
Me and my ladies sip my D'USSÉ cup
I don't give a fuck, chucking my deuces up
Suck on my balls, pause, I had enough
I ain't thinking 'bout you
I ain't thinking 'bout
Middle fingers up, put them hands high
Wave it in his face, tell him, boy, bye
Tell him, boy, bye, boy, bye, middle fingers up
I ain't thinking 'bout you
Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry, nigga, nah
I ain't thinking 'bout you
Sorry, I ain't sorry
Sorry, I ain't sorry, I ain't sorry
No, no, hell nah
Now you want to say you're sorry
Now you want to call me crying
Now you gotta see me wilding
Now I'm the one that's lying
And I don't feel bad about it
It's exactly what you get
Stop interrupting my grinding
(You interrupting my grinding)
I ain't thinking 'bout you
Sorry, I ain't sorry
I ain't thinking 'bout you
I ain't thinking 'bout you
Sorry, I ain't sorry
I ain't thinking 'bout you
I ain't thinking 'bout you
Middle fingers up, put them hands high
Wave it in his face, tell him, boy, bye
Tell him, boy, bye, boy, bye
Middle fingers up, I ain't thinking 'bout you
Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry, nigga, nah
Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry
No, no, hell nah
Looking at my watch, he shoulda been home
Today I regret the night I put that ring on
He always got them fucking excuses
I pray to the Lord you reveal what his truth is
I left a note in the hallway
By the time you read it, I'll be far away
I'm far away
But I ain't fucking with nobody
Let's have a toast to the good life
Suicide before you see this tear fall down my eyes
Me and my baby, we gon' be alright
We gon' live a good life
Big homie better grow up
Me and my whoadies 'bout to stroll up
I see them boppers in the corner
They sneaking out the back door
He only want me when I'm not there
He better call Becky with the good hair
He better call Becky with the good hair"
Six Inch,Emptiness,"Six inch heels, she walked in the club like nobody's business
Goddamn, she murdered everybody and I was her witness
She's stacking money, money everywhere she goes
You know, pesos out of Mexico
De uno, commas and them decimals
She don't gotta give it up, she professional
She mixing up that Ace with that Hennessy
She love the way it tastes, that's her recipe
Rushing through her veins like it's ecstasy, oh no
She already made enough but she'll never leave
Six inch heels, she walked in the club like nobody's business
Goddamn, she murdered everybody and I was her witness
She works for the money, she work for the money
From the start to the finish
And she worth every dollar, she worth every dollar
And she worth every minute
She works for the money
She works for the money
She works for the money
She works for the money
She stack her money, money everywhere she goes
She got that Sake, her Yamazaki straight from Tokyo
Oh baby you know, she got them commas and them decimals
She don't gotta give it up cause she professional
Six inch heels, she walked in the club like nobody's business
Goddamn, she murdered everybody and I was her witness
She works for the money, she work for the money
From the start to the finish
And she worth every dollar, she worth every dollar
And she worth every minute
Stars in her eyes
She fights for the power, keeping time
She grinds day and night
She grinds from Monday to Friday
Works from Friday to Sunday
She gon' slang
She too smart to crave material things
She pushing herself day and night
She grinds from Monday to Friday
Works from Friday to Sunday
Oh, stars in her eyes
She fights and she sweats those sleepless nights
But she don't mind, she loves the grind
She grinds from Monday to Friday
Works from Friday to Sunday
Yeah, yeah, she gon' slang
Too smart to crave material things
Stacking her paper
Stacking her cake up
She grinds from Monday to Friday
Works from Friday to Sunday"
Daddy Lessons,Accountability,"Yee-haw
Oh, oh, oh
Texas, Texas (oh, oh, oh) Texas
Came into this world, daddy's little girl
And daddy made a soldier out of me
Oh, oh, oh
Daddy made me dance and daddy held my hand
Oh, oh, oh
And daddy liked his whiskey with his tea
And we rode motorcycles
Blackjack, classic vinyl
Tough girl is what I had to be
He said, ""Take care of your mother
Watch out for your sister""
Oh, and that's when he gave to me...
With his gun and his head held high, he told me not to cry
Oh, my daddy said shoot
Oh, my daddy said shoot
With his right hand on his rifle, he swore it on the bible
My daddy said shoot
Oh, my daddy said shoot
He held me in his arms and he taught me to be strong
He told me when he's gone, ""Here's what you do
When trouble comes in town and men like me come around""
Oh, my daddy said shoot
Oh, my daddy said shoot
Oh, oh, oh
Oh, oh, oh
Daddy made me fight, it wasn't always right
But he said, ""Girl, it's your second amendment""
Oh, oh, oh
He always played it cool, but daddy was no fool
And right before he died he said, ""Remember...""
He said, ""Take care of your mother
Watch out for your sister""
And that's when daddy looked at me...
With his gun, with his head held high, he told me not to cry
Oh, my daddy said shoot
Oh, my daddy said shoot
With his right hand on his rifle, he swore it on the bible
My daddy said shoot
Oh, my daddy said shoot
Cause he held me in his arms and he taught me to be strong
And he told me when he's gone, ""Here's what you do
When trouble comes in town and men like me come around""
Oh, my daddy said shoot
Oh, my daddy said shoot
Oh, oh, oh
Oh, oh, oh
Oh, oh, oh
Oh, oh, oh
My daddy warned me about men like you
He said, ""Baby girl, he's playing you, he's playing you""
My daddy warned me about men like you
He said, ""Baby girl, he's playing you, he's playing you
Cause when trouble comes in town and men like me come around""
Oh, my daddy said shoot
Oh, my daddy said shoot
""Cause when trouble comes to town and men like me come around""
Oh, my daddy said shoot
Oh, my daddy said shoot
(Good job, Bey, hahaha)"
Love Drought,Reformation,"Ten times out of nine, I know you‘re lying
But nine times out of ten, I know you're trying
So I'm trying to be fair
And you're trying to be there and to care
And you're caught up in your permanent emotions
All the loving I've been giving goes unnoticed
It's just floating in the air, lookie there
Are you aware you're my lifeline, are you tryna kill me?
If I wasn't me, would you still feel me?
Like on my worst day? Or am I not thirsty, enough?
I don't care about the lights or the beams
Spend my life in the dark for the sake of you and me
Only way to go is up, skin thick, too tough
Cause you, you, you, you and me could move a mountain
You, you, you, you and me could calm a war down
You, you, you, you and me could make it rain now
You, you, you, you and me could stop this love drought
Nine times out of ten, I'm in my feelings
But ten times out of nine, I'm only human
Tell me, what did I do wrong?
Feel like that question has been posed
I'm movin' on
I'll always be committed, I been focused
I always paid attention, been devoted
Tell me, what did I do wrong?
Oh, already asked that, my bad
But you my lifeline, think you tryna kill me?
If I wasn't B, would you still feel me?
Like on my worst day? Or am I not thirsty, enough?
I don't care about the lights or the beams
Spend my life in the dark for the sake of you and me
Only way to go is up, them old bitches so wack
I'm so tough, wassup?
Cause you, you, you, you and me could move a mountain
You, you, you, you and me could calm a war down
You, you, you, you and me could make it rain now
You, you, you, you and me would stop this love drought
You and me would stop this love drought"
Sand Castles,Forgiveness,"We built sandcastles that washed away
I made you cry when I walked away
And although I promised that I couldn't stay, baby
Every promise don't work out that way, oh, babe
Every promise don't work out that way
Dishes smashed on my counter from our last encounter
Pictures snatched out the frame
Bitch, I scratched out your name and your face
What is it about you that I can't erase, baby?
When every promise don't work out that way, no no, babe
When every promise don't work out that way
And your heart is broken 'cause I walked away
Show me your scars and I won't walk away
And I know I promised that I couldn't stay, baby
Every promise don't work out that way, no no no no no
Every promise don't work out that way"
Forward,Ressurection,"Forward
Best foot first just in case
When we made our way 'til now
It's time to listen, it's time to fight
Forward
Now we're going to hold doors open for a while
Now we can be open for a while
Forward
I love you more than this job, please don't work for me
Forward
Go back to your sleep in your favorite spot just next to me
Forward, forward"
Freedom,Hope,"Tryna rain, tryna rain on the thunder
Tell the storm I'm new
I'ma walk, I'ma march on the regular
Painting white flags blue
Lord forgive me, I've been running
Running blind in truth
I'ma rain, I'ma rain on this bitter love
Tell the sweet I'm new
I'm telling these tears, ""Go and fall away, fall away""
May the last one burn into flames
Freedom! Freedom! I can't move
Freedom, cut me loose!
Freedom! Freedom! Where are you?
Cause I need freedom too!
I break chains all by myself
Won't let my freedom rot in hell
Hey! I'ma keep running
Cause a winner don't quit on themselves
I'ma wade, I'ma wave through the waters
Tell the tide, ""Don't move""
I'ma riot, I'ma riot through your borders
Call me bulletproof
Lord forgive me, I've been runnin'
Runnin' blind in truth
I'ma wade, I'ma wave through your shallow love
Tell the deep I'm new
I'm telling these tears, ""Go and fall away, fall away""
May the last one burn into flames
Freedom! Freedom! I can't move
Freedom, cut me loose!
Freedom! Freedom! Where are you?
Cause I need freedom too!
I break chains all by myself
Won't let my freedom rot in hell
Hey! I'ma keep running
Cause a winner don't quit on themselves
Ten Hail Marys, I meditate for practice
Channel 9 news tell me I'm movin' backwards
Eight blocks left, death is around the corner
Seven misleadin' statements 'bout my persona
Six headlights wavin' in my direction
Five-O askin' me what's in my possession
Yeah, I keep runnin', jump in the aqueducts
Fire hydrants and hazardous
Smoke alarms on the back of us
But mama, don't cry for me, ride for me
Try for me, live for me
Breathe for me, sing for me
Honestly guidin' me
I could be more than I gotta be
Stole from me, lied to me, nation hypocrisy
Code on me, drive on me
Wicked, my spirit inspired me
Like yeah, open correctional gates in higher desert
Yeah, open our mind as we cast away oppression
Yeah, open the streets and watch our beliefs
And when they carve my name inside the concrete
I pray it forever reads
Freedom! Freedom! I can't move
Freedom, cut me loose!
Freedom! Freedom! Where are you?
Cause I need freedom too!
I break chains all by myself
Won't let my freedom rot in hell
Hey! I'ma keep running
Cause a winner don't quit on themselves
What you want from me?
Is it truth you seek? Oh father can you hear me?
What you want from me?
Is it truth you seek? Oh father can you hear me?
Hear me out
I had my ups and downs, but I always find the inner strength to pull myself up. I was served lemons, but I made lemonade"
